ID,start_DBH
92243501,53.50
92243502,78.50
92243503,77.00
92243504,70.50
92243505,62.50
92243506,111.50
92243507,31.00
92243508,41.80
92243509,45.40
92243510,69.40
92243511,45.30
92243512,43.20
92243513,34.00
92243514,34.50
92243515,72.00
92243516,39.80
92243517,31.10
92243518,29.40
92243519,59.70
92243520,32.00
92243521,52.69
92243522,20.50
92243523,75.31
92243524,30.26
92243525,109.71
92243526,24.82
92243527,41.98
92243528,26.31
92243529,11.60
92243530,19.10
92243531,44.00
92243532,18.80
92243533,64.50
92243534,16.40
92243535,11.00
92243536,17.00
92243537,36.40
92243538,51.80
92243539,41.20
92243540,24.80