sensor_id,Y,X,TYPE,OBJECT_ID,Exhibit,Tag_Number,Order,Family,Species,Common_Name,Area_of_Origin_Distribution,Comments,avg_t1,avg_t2,avg_t3,avg_moist
95321211,25.72282,-80.27989,TMS,437,14. Maya Cocoa Garden,24,Arecales,Arecaceae,Cocos nucifera,Coconut palm,Pantropical (Naturalized),"Origin unknown, but likely S. Pacific. Can survive transportation by ocean currents because nuts float and salt water does not kill embryos, but main distribution has been done by humans. Used by mankind for many centuries, this species continues to be of great economic importance today.",24.352251336179368,24.897885223032706,24.992323271370466,1876.7680930451443
95321212,25.72316,-80.2801,TMS,399,13. What is a Tree?,31,Gentianales,Rubiaceae,Morinda citrifolia,Noni,"India, Southeast Asia to Australia","A highly adaptable species that produces flowers and fruit throughout the year. Because the fruit have an unpleasant, pungent smell and bitter taste, they are sometimes called cheese fruit or vomit fruit, and are considered famine food. Nevertheless they are eaten by some in SE Asia and aboriginal Australians. The seeds are also eaten if roasted. However, the fruit is considered by some to have medicinal uses due to the phytochemicals it contains. However, there is little scientific evidence as yet to support these claims.",24.426644957983193,24.765653361344537,24.888840336134454,1996.3699159663865
95321213,25.7232,-80.28037,TMS,393,13. What is a Tree?,25,Zingiberales,Heliconiaceae,Heliconia bihai x Caribaea cv. Criswick,Criswick Heliconia,Only in cultivation,"Native to tropical rainforests and wet forests, Heliconias have been spread throughout the tropical and subtropical world because of their ornamental beauty. They dislike being cold or dry, and their leaves become tattered from wind. Old leaves also turn brown and need to be removed if aesthetics are a concern. Ranging from 2 to 15 feet in height and hybridizing easily, they are all characterized by blade like leaves and the production of colorful panicles of bracts from which small flowers emerge. The flowers are primarily pollinated by hummingbirds seeking their nectar and the panicles of bracts can be erect or hanging, Fruit are dark blue to purple and primarily bird dispersed. This hydrid features species from northern South America and Central America that produces an erect panicle that is vividly colored orange and yellow.",24.519142213707102,24.70820728715001,24.715982235891232,2302.877651171389
95321214,25.72351,-80.28062,TMS,348,12. South Florida Natives,58,Fagales,Fagaceae,Quercus virginiana,Live oak,Southeastern United States,"Native to the temperate areas of the eastern United States, this wind-pollinated species has migrated south into Florida where it grows to be a very large and stately tree that provides food and shelter to many species of birds. Commonly known as Southern live oak, its acorns are also an important food for squirrels, bear and deer. Although the wood is very hard and durable, it is difficult to work and other species of oak are more commonly used for timber and furniture.",25.082280687530403,25.002549862169612,24.883806956380734,1864.5635803470084
95321215,25.72376,-80.28026,TMS,110,4. Moraceae & other Rosales,100,Sapindales,Sapindaceae,Blighia sapida,Akee,West Africa,National dish of Jamaica when cooked and combined with salted fish. Cooked fruit is not sweet and is commonly compared to scrambled eggs. Fruit poisonous without proper processing and preparation.,24.33058770431026,24.440512266675263,24.739125616557594,2684.5068506399302
95321216,25.72401,-80.28025,TMS,104,4. Moraceae & other Rosales,6,Rosales,Moraceae,Ficus aspera parcellii,Clown Fig,Only in cultivation; wild type from Vanuatu,"Variegated leaves and smaller size characterize this Ficus.Like other members of fig family, inflorescence is involuted so flowers are inside.",23.80340772893654,24.30890236791811,24.4812222636131,1931.395516828091
95321217,25.7241,-80.28007,TMS,141,5. Sapotaceae and other Ericales,107,Lamiales,Oleaceae,Noronhia emarginata,Madagascar olive,Madagascar,Flowers are inconspicuous but fragrant. The fruit when ripe is edible and has a sweet taste. Used as a street tree.,23.784796992360015,24.458773895103317,24.675655201315237,1969.005351213694
95321219,25.72456,-80.27954,TMS,202,7. Bignoniaceae,107,Lamiales,Lamiaceae,Vitex sp.,"Chaste tree, vitex",Tropics and subtropics,"Although the epitaphs Chaste Tree or Monk’s Pepper are used primarily to refer to Vitex agnus-castus, some believe that all Vitex species contain compounds that have effects on hormonal levels and act as an anaphrodisiac by lowering sexual desire. While this idea has been around for centuries, the Mayo Clinic states that there is no scientific evidence of this. 

Women celebrating the ancient Greek festival honoring Demeter, the goddess of agriculture and fertility, wore Chaste Tree blossoms as adornment. In ancient Rome, virgins carried twigs as a symbol of chastity. Medieval monks used potions of the berries to help maintain their vows of chastity.  The fruit of this tree has also been used as an herbal remedy for gynecological problems and PMS, and to increase milk production in new mothers.
",23.954889202256243,24.36750201450443,24.858948428686542,1993.6804190169219
95321220,25.72432,-80.27947,TMS,218,8. Myrtales,101,Ranunculales,Menispermaceae,Cocculus laurifolius,Laurel-leaved Cocculus,Indian subcontinent to Japan and Philippines,,23.92924547075493,24.69045316330754,24.88610023243226,1594.6926162957302
95321221,25.72296,-80.28031,TMS,4,1. Arecaceae,4,Arecales,Arecaceae,Bismarckia nobilis,Bismarck Palm,Madagascar,"Sole species in the genus. Solitary, stout trunk with gray to tan color and ringed indentations at old leaf bases. Large, costapalmate leaves range from bluish gray to greenish gray. Tolerates some frost. Grow in full sun.",25.14853740144438,25.02761420857351,25.0732438050752,1857.2182799973498
95321222,25.72342,-80.28016,TMS,83,2. Euphorbiaceae & other Malpighiales,101,Gentianales,Apocynaceae,Cameraria latifolia,"White Poisonwood, Palo de Leche","Southern Mexico, Guatemala, Belize, and Caribbean",Medium sized tree with attractive foliage and white flowers. Poisonous. Used to make as fish poison.,24.346090618478154,24.63447220657899,25.01682636565409,2183.8613641633815
95321224,25.72395,-80.27983,TMS,248,10. Sapindales,102,Gentianales,Rubiaceae,Calycophyllum spruceanum,Capirona,"Bolivia, Colombia, Ecuador, Peru & Brazil","This tall, columnar tree from the Amazon region has a reddish brown trunk and defoliating bark that allegedly has many medicinal values. Although it has confirmed that the bark is a fungicide, claims that it can successfully treat diabetes have not yet been tested.",24.034208856640852,24.440349043404698,24.754500309103925,2085.3868354265633
95321226,25.723806,-80.280056,TMS,284,11. Malvales,26,Malvales,Malvaceae,Sterculia foetida,"Bangar nut, java olive",Southeast Asia to India,"Large tree with buttress roots. Clusters of muddy red flowers have somewhat fetid odor, but used as a street tree in Rio de Janeiro. Fruit had hard shell that opens to reveal red interior and large, blue seeds.",24.420607448504768,24.630086476196674,24.701392730467607,2022.6509387914484
95321227,25.72358,-80.2803,TMS,59,2. Euphorbiaceae & other Malpighiales,1,Malpighiales,Euphorbiaceae,Acalypha hispida,"Chenille Plant, Red Hot Cat Tail",Oceania,Popular ornamental has naturalized in some areas. Cold sensitive.,24.620780608188685,24.979478600768516,24.944435702928317,2720.1289916523124
95321228,25.723694,-80.280139,TMS,423,14. Maya Cocoa Garden,10,Myrtales,Combretaceae,Terminalia molinetii,"Spiny black olive, júcaro espinoso","Yucatan Peninsula, West Indies, South Florida","Small, delicate looking tree wih natural bonsai characteristics. Wood is hard and small leathery leaves intersperces with spines. Salt tolerant.",24.48062420682698,24.7007663271615,24.766644430705153,2394.0165630796264
95321229,25.723611,-80.279944,TMS,59,2. Euphorbiaceae & other Malpighiales,1,Malpighiales,Euphorbiaceae,Acalypha hispida,"Chenille Plant, Red Hot Cat Tail",Oceania,Popular ornamental has naturalized in some areas. Cold sensitive.,24.85461545345091,25.00921097588754,25.031114753831634,2166.91526471641
95321230,25.72301,-80.2799,TMS,447,14. Maya Cocoa Garden,34,Ericales,Sapotaceae,Manilkara zapota,"Sapodilla, níspero",Mexico to Colombia,"Large tree with spreading canopy with dense foliage and milky sap that is the source of Chickles. Used by Mayans for gum and many other purposes, the fruit is sweet but sometimes also grainy, and the wood is hard and sturdy. Mayans used the wood in temple constructioni.",24.412145759443547,24.702932922420025,24.974316483592162,1930.128129196653
